,Sr No,Village,District,long,lat,date,year,month,day,Highest Rainfall (mm) ,Mean X (mm),Std Sx,Highest_rainfall(z),Mean Z(mm),Std Sz,Number of Data N,cv(%),Tf,SE_f,Tg,SE_G
33,34,Anklav,Anand,73,22.5,07-01-2005,2005,7,1,292.63,99.36630645,49.83710715,5.678909012,4.489069912,0.464279089,62,50.15493574,48.23358394,0.18870286,258.1694566,28.76727939
26,27,Balasinor,Kheda,73.25,23,09-07-1994,1994,9,7,278.77,106.7854677,50.06312055,5.630387069,4.5713654,0.447021844,62,46.88196028,37.73751784,0.170591786,146.6018045,26.00458187
0,1,Botad,Botad,71.5,22.25,8/28/1970,1970,8,28,349.94,91.48480645,55.56899453,5.857761711,4.387561285,0.484983254,62,60.74122763,87.54976029,0.226457545,694.802925,37.7121701
27,28,Chota Udaipur,Chhota Udepur,73.75,22.5,07-11-2022,2022,7,11,531.75,122.5739839,83.68494887,6.276173454,4.646070456,0.551727937,62,68.27301048,79.37678148,0.252127047,943.0285618,59.41792402
19,20,Dabhoi,Vadodara,73.5,22,07-12-2022,2022,7,12,294.66,121.8828871,59.76434921,5.685822149,4.698726898,0.453841964,62,49.0342415,29.53579163,0.16196854,73.20362575,26.81938552
14,15,Dhandhuka,Ahmdabad,72,22.5,06-06-1976,1976,6,6,506.22,98.20117742,69.78165102,6.226971357,4.44349615,0.49574208,62,71.05989241,180.3806289,0.267994459,3217.662596,58.35718481
4,5,Dholka,Ahmdabad,72.5,22.75,8/24/1990,1990,8,24,425,112.1255968,71.90544577,6.052089169,4.57358076,0.515529963,62,64.12937618,71.08808792,0.229809934,473.1956357,45.96611101
43,44,Fatehpur,Dahod,74,23.25,8/29/1976,1976,8,29,336.38,131.8649032,60.7516242,5.818241473,4.781955017,0.454077646,62,46.07110969,33.81292894,0.168248088,134.2429389,31.01107479
1,2,Gadhada,Botad,71.5,22,07-02-2007,2007,7,2,354.53,98.77425806,63.034817,5.870792969,4.437024444,0.543004311,62,63.81704934,53.23109189,0.226122947,324.8296992,37.86652065
37,38,Garbada,Dahod,74.25,22.75,8/24/1990,1990,8,24,224.09,100.484129,47.27852918,5.412047757,4.502298515,0.472849576,62,47.05074289,21.54827557,0.153746358,51.50128815,19.5299133
